,City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,16.86,16.86,95,46,5.46,RU,1621967783
1,busselton,-33.65,115.3333,47.05,47.05,77,100,8.7,AU,1621967783
2,kushima,31.4583,131.2333,65.12,65.12,83,100,5.73,JP,1621967784
3,huarmey,-10.0681,-78.1522,71.87,71.87,71,7,9.31,PE,1621967784
4,ushuaia,-54.8,-68.3,31.66,31.66,80,90,21.85,AR,1621967785
5,severo-kurilsk,50.6789,156.125,38.39,38.39,90,100,12.15,RU,1621967785
6,qandala,11.472,49.8728,86.47,86.47,67,0,5.21,SO,1621967786
7,punta arenas,-53.15,-70.9167,39.22,39.31,70,20,18.21,CL,1621967786
8,bengkulu,-3.8004,102.2655,77.25,77.25,86,32,3.87,ID,1621967787
9,albany,42.6001,-73.9662,77.25,81.0,47,99,5.53,US,1621967732
10,bathsheba,13.2167,-59.5167,86.61,86.61,51,20,15.03,BB,1621967787
11,arraial do cabo,-22.9661,-42.0278,73.26,75.16,56,0,4.61,BR,1621967788
12,college,64.8569,-147.8028,61.41,64.99,36,40,12.66,US,1621967788
13,rikitea,-23.1203,-134.9692,75.47,75.47,82,100,12.21,PF,1621967789
14,ahome,25.9167,-109.1833,91.89,95.14,30,46,5.99,MX,1621967789
15,upernavik,72.7868,-56.1549,35.92,35.92,86,76,7.29,GL,1621967789
16,paamiut,61.994,-49.6678,32.94,32.94,72,97,6.58,GL,1621967790
17,havre-saint-pierre,50.2334,-63.5986,44.96,44.96,93,90,11.5,CA,1621967790
18,nikolskoye,59.7035,30.7861,50.0,50.0,57,0,4.47,RU,1621967791
19,seoul,37.5683,126.9778,51.66,54.84,87,20,3.33,KR,1621967791
20,hermanus,-34.4187,19.2345,57.9,57.9,79,45,9.89,ZA,1621967791
21,hilo,19.7297,-155.09,77.79,80.62,80,75,4.61,US,1621967792
22,okha,53.5739,142.9478,32.0,32.0,95,100,6.98,RU,1621967792
23,cape town,-33.9258,18.4232,56.84,59.11,77,20,1.01,ZA,1621967630
24,chuy,-33.6971,-53.4616,62.44,62.44,60,2,13.38,UY,1621967793
25,half moon bay,37.4636,-122.4286,64.74,76.05,62,20,10.74,US,1621967794
26,praia da vitoria,38.7333,-27.0667,68.16,69.8,68,40,20.15,PT,1621967794
27,ilulissat,69.2167,-51.1,39.2,39.2,65,40,10.36,GL,1621967794
28,longyearbyen,78.2186,15.6401,28.4,28.4,80,75,19.57,SJ,1621967795
29,dindori,22.95,81.0833,79.27,79.27,20,97,4.16,IN,1621967796
30,jamestown,42.097,-79.2353,81.75,85.32,61,40,20.71,US,1621967796
31,padang,-0.9492,100.3543,78.8,78.8,100,40,3.44,ID,1621967529
32,east london,-33.0153,27.9116,64.4,64.4,94,0,10.36,ZA,1621967797
33,butaritari,3.0707,172.7902,81.57,81.57,80,84,14.74,KI,1621967797
34,kapaa,22.0752,-159.319,79.11,80.47,72,1,1.01,US,1621967595
35,vila velha,-20.3297,-40.2925,73.94,75.15,80,75,8.01,BR,1621967798
36,puerto ayora,-0.7393,-90.3518,79.66,84.2,61,40,19.57,EC,1621967798
37,bethel,41.3712,-73.414,72.14,78.42,57,1,1.99,US,1621967631
38,chokurdakh,70.6333,147.9167,30.74,30.74,76,8,6.98,RU,1621967799
39,ribeira grande,38.5167,-28.7,66.6,66.6,88,75,13.8,PT,1621967799
40,martapura,-3.4167,114.85,78.89,78.89,100,90,1.97,ID,1621967800
41,mar del plata,-38.0023,-57.5575,55.81,57.0,58,75,23.02,AR,1621967801
42,zhongshu,24.5167,103.7667,61.61,61.61,97,71,3.4,CN,1621967801
43,vernon,50.2581,-119.2691,63.27,71.13,55,100,2.3,CA,1621967587
44,natal,-5.795,-35.2094,86.22,86.22,54,40,11.25,BR,1621967697
45,kitui,-1.367,38.0106,66.24,66.24,62,93,11.23,KE,1621967802
46,hithadhoo,-0.6,73.0833,84.33,84.33,66,100,19.57,MV,1621967755
47,bambous virieux,-20.3428,57.7575,73.65,73.65,83,75,8.72,MU,1621967802
48,bluff,-46.6,168.3333,40.57,40.57,69,100,7.56,NZ,1621967803
49,hokitika,-42.7167,170.9667,41.56,41.56,62,0,4.97,NZ,1621967803
50,palmer,42.1584,-72.3287,73.76,73.99,46,75,8.05,US,1621967804
51,faya,18.3851,42.4509,74.3,75.2,43,20,8.05,SA,1621967804
52,mahebourg,-20.4081,57.7,73.69,73.69,83,75,8.05,MU,1621967805
53,yumen,40.2833,97.2,60.93,60.93,18,13,7.74,CN,1621967805
54,manta,-0.95,-80.7333,80.38,80.38,78,40,14.97,EC,1621967806
55,balasheyka,53.2841,48.0851,52.77,52.77,90,3,8.59,RU,1621967806
56,port antonio,18.18,-76.4612,85.26,87.91,64,5,9.53,JM,1621967807
57,viedma,-40.8135,-62.9967,54.12,54.12,29,0,12.48,AR,1621967807
58,severnyy,50.677,36.5532,66.24,66.24,52,0,2.24,RU,1621967808
59,samarai,-10.6167,150.6667,78.64,78.64,68,100,16.06,PG,1621967808
60,tura,25.5198,90.2201,73.89,73.89,98,100,5.01,IN,1621967808
61,norman wells,65.282,-126.8329,55.44,55.44,28,20,13.8,CA,1621967809
62,mathbaria,22.2876,89.9593,81.1,81.1,75,73,18.07,BD,1621967809
63,te anau,-45.4167,167.7167,34.61,34.61,78,100,0.81,NZ,1621967810
64,barrow,71.2906,-156.7887,24.82,24.82,86,90,6.91,US,1621967810
65,zaraza,9.3503,-65.3245,98.53,98.53,27,74,8.88,VE,1621967811
66,macieira de cambra,40.8594,-8.3734,58.12,65.19,65,100,4.94,PT,1621967811
67,port alfred,-33.5906,26.891,64.17,64.17,89,100,10.6,ZA,1621967811
68,mehamn,71.0357,27.8492,39.11,39.11,68,62,8.57,NO,1621967812
69,dingle,10.9995,122.6711,79.45,79.45,82,100,4.09,PH,1621967812
70,ayame,5.6083,-3.1563,77.49,77.49,91,100,4.65,CI,1621967812
71,vaini,-21.2,-175.2,64.56,64.56,100,75,10.36,TO,1621967813
72,hamilton,39.1834,-84.5333,86.85,89.2,46,40,1.99,US,1621967630
73,zlocieniec,53.5329,16.0113,49.89,49.89,73,50,9.44,PL,1621967814
74,muros,42.7762,-9.0603,60.76,62.69,60,100,12.03,ES,1621967814
75,hualmay,-11.0964,-77.6139,70.77,70.77,69,11,8.68,PE,1621967814
76,tasiilaq,65.6145,-37.6368,35.76,35.76,92,100,46.48,GL,1621967815
77,sabang,5.8933,95.3214,83.77,83.77,74,99,13.11,ID,1621967815
78,arman,59.7,150.1667,43.81,43.81,67,0,2.93,RU,1621967816
79,segezha,63.7415,34.3222,37.35,37.35,84,15,1.28,RU,1621967816
80,kailua,21.4022,-157.7394,79.5,81.07,68,16,5.14,US,1621967817
81,horodok,49.1637,26.5839,64.51,64.51,94,92,9.82,UA,1621967817
82,qaanaaq,77.484,-69.3632,32.99,32.99,74,0,6.31,GL,1621967817
83,saint-pierre,-21.3393,55.4781,69.39,71.24,74,0,4.61,RE,1621967818
84,yulara,-25.2406,130.9889,44.44,44.44,57,89,8.05,AU,1621967818
85,katobu,-4.9408,122.5276,75.25,75.25,94,99,4.36,ID,1621967819
86,narsaq,60.9167,-46.05,41.22,41.22,62,70,3.76,GL,1621967819
87,smithers,54.7804,-127.1743,55.72,55.72,47,40,2.3,CA,1621967820
88,svetlyy,54.675,20.1347,55.45,55.45,92,95,5.7,RU,1621967820
89,pangnirtung,66.1451,-65.7125,30.2,30.2,80,90,11.5,CA,1621967820
90,talnakh,69.4865,88.3972,22.46,22.46,94,54,12.62,RU,1621967821
91,neuquen,-38.9516,-68.0591,58.89,58.89,47,0,3.44,AR,1621967821
92,kemijarvi,66.7131,27.4306,43.63,43.63,56,17,3.65,FI,1621967822
93,linxia,35.6003,103.2064,55.92,55.92,46,100,7.85,CN,1621967822
94,atuona,-9.8,-139.0333,79.43,79.43,67,39,16.08,PF,1621967822
95,lampazos de naranjo,27.0167,-100.5167,92.61,92.61,41,9,9.04,MX,1621967823
96,obihiro,42.9172,143.2044,46.78,46.78,72,100,5.23,JP,1621967823
97,belyy yar,53.6039,91.3903,58.89,58.89,72,0,8.34,RU,1621967824
98,bredasdorp,-34.5322,20.0403,56.52,56.52,72,100,7.16,ZA,1621967824
99,mwene-ditu,-7.0,23.45,67.17,67.17,47,1,4.47,CD,1621967771
100,georgetown,5.4112,100.3354,81.79,83.89,86,20,3.0,MY,1621967790
101,mana,5.6592,-53.7767,80.4,80.4,86,100,7.9,GF,1621967825
102,poronaysk,49.2167,143.1167,34.36,34.36,99,100,10.71,RU,1621967825
103,port lincoln,-34.7333,135.8667,57.06,57.06,61,100,16.53,AU,1621967826
104,quetta,30.199,67.0097,72.84,72.84,19,0,1.95,PK,1621967589
105,kavieng,-2.5744,150.7967,80.37,80.37,83,100,7.74,PG,1621967826
106,yar-sale,66.8333,70.8333,37.63,37.63,51,100,7.47,RU,1621967827
107,xichang,27.8964,102.2634,65.41,65.41,82,95,1.68,CN,1621967827
108,new norfolk,-42.7826,147.0587,48.61,50.92,68,16,1.99,AU,1621967828
109,arti,56.4234,58.5328,56.68,56.68,92,48,6.73,RU,1621967828
110,santa sofia,43.9445,11.9087,62.46,70.36,68,0,6.8,IT,1621967828
111,mataura,-46.1927,168.8643,33.33,33.33,68,100,3.0,NZ,1621967829
112,opuwo,-18.0607,13.84,65.35,65.35,37,0,8.72,NA,1621967829
113,avarua,-21.2078,-159.775,77.05,77.05,100,40,3.44,CK,1621967830
114,teya,60.3778,92.6267,30.96,30.96,79,15,2.95,RU,1621967830
115,shimoda,34.6667,138.95,67.1,67.1,51,94,18.52,JP,1621967831
116,alofi,-19.0595,-169.9187,78.69,78.69,94,75,9.22,NU,1621967831
117,hobart,-42.8794,147.3294,49.95,51.26,75,12,1.99,AU,1621967832
118,aswan,24.0934,32.907,90.72,90.72,9,0,9.24,EG,1621967832
119,pisco,-13.7,-76.2167,68.05,70.02,83,97,10.36,PE,1621967833
120,kongolo,-5.3833,27.0,72.12,72.12,56,50,3.29,CD,1621967833
121,ponta do sol,32.6667,-17.1,68.13,68.63,51,100,5.37,PT,1621967833
122,salcininkai,54.3,25.3833,57.4,57.99,88,75,9.22,LT,1621967834
123,ca mau,9.1769,105.15,77.56,77.56,90,100,4.61,VN,1621967834
124,waiouru,-39.4833,175.6667,37.38,37.38,83,19,5.79,NZ,1621967834
125,margate,51.3813,1.3862,55.98,58.03,50,7,1.99,GB,1621967835
126,ambilobe,-13.2,49.05,69.62,69.62,88,8,2.44,MG,1621967836
127,tuma,55.148,40.5537,52.54,52.54,68,100,2.04,RU,1621967836
128,lebu,-37.6167,-73.65,58.42,58.42,77,91,5.14,CL,1621967836
129,isangel,-19.55,169.2667,70.92,70.92,60,96,13.02,VU,1621967837
130,lokoja,7.8024,6.743,85.82,85.82,58,100,5.77,NG,1621967837
131,syedove,47.0768,38.156,65.91,65.91,76,27,3.89,UA,1621967838
132,yinchuan,38.4681,106.2731,71.83,71.83,12,99,11.83,CN,1621967838
133,rio gallegos,-51.6226,-69.2181,42.85,42.85,56,20,23.02,AR,1621967839
134,provideniya,64.3833,-173.3,44.53,44.53,55,100,17.2,RU,1621967839
135,touros,-5.1989,-35.4608,84.2,84.2,61,20,10.36,BR,1621967839
136,solton,52.8429,86.4787,59.22,59.22,95,100,5.79,RU,1621967840
137,salaga,8.5508,-0.5188,90.09,90.09,45,92,4.23,GH,1621967840
138,santa rosa,14.3122,121.1114,84.61,86.0,74,20,5.75,PH,1621967841
139,mantua,45.1667,10.7833,65.89,70.12,64,61,5.57,IT,1621967841
140,castro,-24.7911,-50.0119,64.71,64.71,52,83,3.67,BR,1621967842
141,jasper,37.2001,-94.3502,71.64,74.01,79,75,4.0,US,1621967842
142,saskylakh,71.9167,114.0833,42.1,42.1,65,98,4.65,RU,1621967842
143,warragul,-38.1667,145.9333,53.44,55.31,73,93,8.01,AU,1621967843
144,thaton,16.9206,97.3714,77.92,77.92,90,100,6.71,MM,1621967843
145,fairbanks,64.8378,-147.7164,62.44,66.09,44,20,13.8,US,1621967815
146,faanui,-16.4833,-151.75,80.87,80.87,71,100,10.07,PF,1621967844
147,kimbe,-5.5502,150.1429,76.59,76.59,92,100,5.88,PG,1621967844
148,gander,48.9682,-54.5906,53.6,53.6,62,75,24.16,CA,1621967845
149,high level,58.5169,-117.136,46.51,46.51,29,75,2.01,CA,1621967845
150,cherskiy,68.75,161.3,48.88,48.88,43,100,5.44,RU,1621967845
151,sao filipe,14.8961,-24.4956,74.97,74.97,73,0,14.99,CV,1621967846
152,sungairaya,0.7,108.9,78.53,78.53,89,92,2.35,ID,1621967846
153,champerico,14.3,-91.9167,82.27,91.4,58,0,6.91,GT,1621967847
154,tiksi,71.6872,128.8694,28.63,28.63,86,40,2.06,RU,1621967847
155,tuktoyaktuk,69.4541,-133.0374,30.2,30.2,100,90,10.36,CA,1621967848
156,ekibastuz,51.6667,75.3667,78.04,78.04,28,6,3.89,KZ,1621967849
157,america dourada,-11.4553,-41.4361,87.78,87.78,22,1,11.7,BR,1621967849
158,pangoa,-12.1167,-73.0,68.31,68.31,97,100,0.78,PE,1621967849
159,mercedes,-34.6515,-59.4307,65.08,66.85,55,0,6.33,AR,1621967850
160,victoria,22.2855,114.1577,83.46,85.32,89,89,1.01,HK,1621967708
161,xining,36.6167,101.7667,49.42,49.42,70,100,2.3,CN,1621967850
162,namatanai,-3.6667,152.4333,78.39,78.39,87,100,4.83,PG,1621967851
163,le vauclin,14.5452,-60.8388,83.61,84.2,61,75,18.41,MQ,1621967852
164,broome,42.2506,-75.833,77.68,81.37,61,20,1.99,US,1621967852
165,tuatapere,-46.1333,167.6833,38.17,38.17,69,100,5.14,NZ,1621967853
166,sinjai,-5.1241,120.253,75.38,75.38,88,100,3.02,ID,1621967853
167,wanning,18.8003,110.3967,81.14,81.14,85,34,9.37,CN,1621967854
168,salalah,17.0151,54.0924,84.29,84.29,74,20,8.05,OM,1621967700
169,cozumel,20.5083,-86.9458,86.94,87.87,70,75,5.99,MX,1621967803
170,erzin,36.9559,36.2,74.01,75.92,64,0,2.75,TR,1621967855
171,torbay,47.6666,-52.7314,53.91,55.89,66,40,27.63,CA,1621967734
172,hurghada,27.2574,33.8129,86.04,86.04,28,0,3.44,EG,1621967855
173,namie,37.4833,141.0,56.98,59.97,67,0,13.96,JP,1621967856
174,khatanga,71.9667,102.5,30.94,30.94,97,100,6.26,RU,1621967856
175,thompson,55.7435,-97.8558,28.56,28.56,86,90,17.27,CA,1621967856
176,omboue,-1.5746,9.2618,78.15,78.15,93,83,6.44,GA,1621967857
177,luderitz,-26.6481,15.1594,61.29,61.29,80,0,13.67,NA,1621967857
178,coihaique,-45.5752,-72.0662,44.53,44.55,57,90,3.44,CL,1621967858
179,bonthe,7.5264,-12.505,80.24,80.24,82,100,3.58,SL,1621967858
180,komsomolskiy,40.4272,71.7189,75.88,75.92,38,20,2.3,UZ,1621967859
181,mount isa,-20.7333,139.5,67.77,67.77,60,75,3.44,AU,1621967859
182,coquimbo,-29.9533,-71.3436,60.53,60.53,77,0,5.35,CL,1621967860
183,klaksvik,62.2266,-6.589,52.72,52.72,91,99,15.75,FO,1621967860
184,agirish,61.9247,63.0231,53.06,53.06,71,100,3.06,RU,1621967860
185,dafeng,23.4517,108.5881,75.25,75.25,95,36,2.62,CN,1621967861
186,aurad,18.25,77.4333,88.66,88.66,24,100,10.29,IN,1621967861
187,inhambane,-23.865,35.3833,60.8,60.8,88,0,3.44,MZ,1621967862
188,olhao,37.0286,-7.8411,73.29,73.29,53,0,8.9,PT,1621967827
189,buraydah,26.326,43.975,91.85,91.85,9,0,13.2,SA,1621967863
190,port elizabeth,-33.918,25.5701,64.4,64.4,88,0,10.36,ZA,1621967774
191,carnarvon,-24.8667,113.6333,50.07,50.07,81,90,10.36,AU,1621967863
192,kodiak,57.79,-152.4072,49.51,49.51,71,1,6.91,US,1621967864
193,tanabe,33.7333,135.3667,67.93,67.93,59,93,5.01,JP,1621967864
194,vardo,70.3705,31.1107,37.38,37.6,70,75,4.61,NO,1621967864
195,deer lake,49.1667,-57.4316,58.86,58.86,51,75,20.71,CA,1621967865
196,marana,32.4367,-111.2254,91.92,95.2,6,1,0.0,US,1621967865
197,san quintin,30.4833,-115.95,70.23,70.23,56,53,10.2,MX,1621967866
198,meulaboh,4.1363,96.1285,79.07,79.07,84,100,5.91,ID,1621967866
199,sibu,2.3,111.8167,79.11,79.11,89,40,0.85,MY,1621967866
200,cidreira,-30.1811,-50.2056,66.56,66.56,49,0,11.97,BR,1621967867
201,lavrentiya,65.5833,-171.0,37.8,37.8,76,64,11.01,RU,1621967867
202,brae,60.3964,-1.353,49.91,49.91,88,100,10.89,GB,1621967868
203,ginir,7.1333,40.7,56.95,56.95,85,8,6.38,ET,1621967868
204,kaniama,-7.5667,24.1833,66.38,66.38,47,0,4.97,CD,1621967869
205,buala,-8.145,159.5921,79.36,79.36,85,95,12.39,SB,1621967869
206,mhlume,-26.0333,31.85,59.0,59.0,86,91,3.44,SZ,1621967870
207,kirkland lake,48.1446,-80.0377,68.29,68.83,77,100,8.93,CA,1621967870
208,waipawa,-41.4122,175.5153,38.08,41.04,80,45,4.56,NZ,1621967871
209,douglas,41.3,-96.167,78.13,80.98,70,75,4.0,US,1621967834
210,naze,28.3667,129.4833,69.58,69.58,64,100,1.66,JP,1621967871
211,coahuayana,18.7333,-103.6833,94.48,94.48,39,1,8.23,MX,1621967872
212,lazarev,52.225,141.5131,32.49,32.49,97,100,6.98,RU,1621967872
213,buchanan,5.8808,-10.0467,73.36,73.36,80,62,5.75,LR,1621967872
214,elliot,-31.3333,27.85,52.57,52.57,53,100,7.31,ZA,1621967873
215,cape girardeau,37.3834,-89.7168,87.37,89.11,56,97,14.34,US,1621967873
216,hambantota,6.1241,81.1185,80.94,80.94,83,75,23.76,LK,1621967874
217,kahului,20.8947,-156.47,77.99,80.83,80,1,0.0,US,1621967595
218,sur,22.5667,59.5289,91.87,91.87,38,0,13.58,OM,1621967874
219,ossora,59.2353,163.0719,34.23,34.23,100,100,4.61,RU,1621967875
220,luangwa,-15.6167,30.4167,60.85,60.85,53,0,2.53,ZM,1621967875
221,peace river,56.2501,-117.286,52.11,52.11,37,75,7.96,CA,1621967679
222,karaton,-6.3424,106.1045,82.13,82.96,88,100,3.04,ID,1621967876
223,churapcha,62.0025,132.4325,44.26,44.26,78,58,2.44,RU,1621967876
224,schramberg,48.224,8.3858,53.98,57.18,69,12,11.12,DE,1621967877
225,krasnyy yar,46.5331,48.3456,68.97,71.53,71,81,13.91,RU,1621967877
226,mount gambier,-37.8333,140.7667,51.71,51.71,76,75,17.27,AU,1621967878
227,husavik,66.0449,-17.3389,55.4,55.4,44,0,13.8,IS,1621967878
228,storforshei,66.4043,14.5233,58.78,58.78,29,0,5.57,NO,1621967879
229,ancud,-41.8697,-73.8203,49.8,50.43,94,100,12.84,CL,1621967879
230,gorontalo,0.5412,123.0595,74.88,74.88,93,94,1.77,ID,1621967880
231,luganville,-15.5333,167.1667,70.14,70.14,70,84,4.54,VU,1621967880
232,henties bay,-22.116,14.2845,67.57,67.57,65,0,12.95,NA,1621967880
233,agadir,30.4202,-9.5982,73.4,73.4,53,100,14.97,MA,1621967881
234,airai,-8.9266,125.4092,58.75,58.75,92,42,3.6,TL,1621967882
235,okhotsk,59.3833,143.3,44.2,44.2,65,91,8.1,RU,1621967882
236,gornyy,55.1153,83.9059,58.44,58.44,95,95,5.28,RU,1621967882
237,beira,-19.8436,34.8389,68.25,68.25,71,0,4.94,MZ,1621967883
238,saldanha,-33.0117,17.9442,57.25,57.25,83,30,1.19,ZA,1621967883
239,popondetta,-8.7537,148.2534,73.0,73.0,93,100,1.72,PG,1621967884
240,benghazi,32.1167,20.0667,74.57,74.57,54,0,13.71,LY,1621967884
241,mayo,38.8876,-76.5119,72.46,79.23,70,90,4.0,US,1621967885
242,hasaki,35.7333,140.8333,59.61,60.8,94,75,5.75,JP,1621967885
243,ust-nera,64.5667,143.2,43.99,43.99,62,11,4.63,RU,1621967885
244,altay,47.8667,88.1167,62.78,62.78,24,0,7.76,CN,1621967886
245,codrington,-38.2667,141.9667,52.38,52.38,78,98,26.33,AU,1621967886
246,kitimat,54.0524,-128.6534,55.9,55.9,72,57,1.01,CA,1621967887
247,nagato,34.3833,131.2,58.19,66.11,79,100,2.82,JP,1621967887
248,nome,64.5011,-165.4064,61.61,62.6,29,1,10.36,US,1621967887
249,kindu,-2.95,25.95,72.84,72.84,73,86,1.97,CD,1621967888
250,guerrero negro,27.9769,-114.0611,74.64,74.64,43,13,9.86,MX,1621967888
251,jaca,42.569,-0.5499,62.98,64.6,66,3,3.96,ES,1621967889
252,dire dawa,9.5931,41.8661,75.38,75.38,32,64,10.0,ET,1621967889
253,domoni,-12.2569,44.5319,75.99,75.99,75,7,8.79,KM,1621967890
254,namibe,-15.1961,12.1522,73.6,73.6,76,0,3.11,AO,1621967890
255,cheyenne,41.14,-104.8203,65.52,66.2,22,1,17.27,US,1621967784
256,udachnyy,66.4167,112.4,42.58,42.58,85,100,7.94,RU,1621967891
257,tiznit,29.5833,-9.5,69.48,69.48,52,100,4.63,MA,1621967892
258,bodden town,19.2833,-81.25,83.46,86.94,35,40,14.94,KY,1621967892
259,aksarka,66.5606,67.7975,36.9,36.9,76,100,9.82,RU,1621967893
260,ferrol,43.4832,-8.2369,57.43,61.05,76,100,12.26,ES,1621967893
261,yellowknife,62.456,-114.3525,41.23,41.32,52,20,3.0,CA,1621967894
262,anadyr,64.75,177.4833,44.01,45.1,65,75,25.99,RU,1621967894
263,srednekolymsk,67.45,153.6833,46.56,46.56,68,100,15.12,RU,1621967895
264,shache,38.4167,77.2406,67.33,67.33,17,55,1.77,CN,1621967729
265,saint-georges,12.0564,-61.7485,87.48,87.48,62,20,25.32,GD,1621967785
266,karratha,-20.7377,116.8463,67.42,67.42,57,0,15.26,AU,1621967895
267,camocim,-2.9022,-40.8411,85.51,85.51,67,58,10.31,BR,1621967896
268,kamyshlov,56.8428,62.7111,63.34,63.34,62,34,9.1,RU,1621967897
269,zhaoyuan,37.3592,120.3964,67.78,67.78,39,100,17.38,CN,1621967897
270,lompoc,34.6391,-120.4579,73.11,87.1,64,1,12.66,US,1621967897
271,mapiripan,2.8892,-72.1256,82.27,82.27,78,73,1.12,CO,1621967898
272,mattru,7.6244,-11.8332,78.98,78.98,88,100,3.56,SL,1621967898
273,bor,56.3567,44.0669,52.93,53.53,71,3,5.44,RU,1621967898
274,hofn,64.2539,-15.2082,45.36,45.36,82,100,14.72,IS,1621967899
275,itarema,-2.9248,-39.9167,82.15,82.15,71,51,14.16,BR,1621967899
276,saint george,37.1041,-113.5841,82.78,84.0,13,31,3.67,US,1621967900
277,kaeo,-35.1,173.7833,50.32,50.32,92,40,12.39,NZ,1621967900
278,sokoni,-6.4333,39.55,80.46,80.46,67,100,17.69,TZ,1621967900
279,sola,-13.8833,167.55,72.27,72.27,83,20,0.0,VU,1621967901
280,marang,5.2056,103.2059,78.8,78.8,89,40,3.44,MY,1621967901
281,esperance,-33.8667,121.9,49.84,49.84,82,33,8.48,AU,1621967902
282,ellisras,-23.6649,27.7443,57.27,57.27,54,10,3.67,ZA,1621967902
283,hobyo,5.3505,48.5268,78.89,78.89,80,6,21.39,SO,1621967902
284,marsh harbour,26.5412,-77.0636,76.62,76.62,65,0,11.27,BS,1621967733
